Vds [V],Ids (Vgs = 375mV) [A],Ids (Vgs = 600mV) [A],Ids (Vgs = 750mV) [A]
0.00E+00,1.12E-06,-1.69E-05,-1.76E-05
2.50E-02,1.27E-03,1.73E-03,1.86E-03
5.00E-02,2.48E-03,3.46E-03,3.73E-03
7.50E-02,3.60E-03,5.16E-03,5.57E-03
1.00E-01,4.61E-03,6.81E-03,7.39E-03
1.25E-01,5.51E-03,8.43E-03,9.19E-03
1.50E-01,6.29E-03,1.00E-02,1.10E-02
1.75E-01,6.95E-03,1.15E-02,1.27E-02
2.00E-01,7.50E-03,1.30E-02,1.44E-02
2.25E-01,7.95E-03,1.43E-02,1.60E-02
2.50E-01,8.31E-03,1.56E-02,1.76E-02
2.75E-01,8.61E-03,1.69E-02,1.91E-02
3.00E-01,8.87E-03,1.80E-02,2.06E-02
3.25E-01,9.08E-03,1.90E-02,2.20E-02
3.50E-01,9.27E-03,2.00E-02,2.34E-02
3.75E-01,9.43E-03,2.08E-02,2.46E-02
4.00E-01,9.58E-03,2.16E-02,2.58E-02
4.25E-01,9.72E-03,2.22E-02,2.69E-02
4.50E-01,9.85E-03,2.28E-02,2.80E-02
4.75E-01,9.97E-03,2.33E-02,2.89E-02
0.5,0.01008207,0.0237531,0.0297894
0.525,0.01019103,0.0241342,0.0305772
0.55,0.01029431,0.0244654,0.0312842
0.575,0.01039497,0.0247542,0.0319206
0.6,0.01049323,0.0250129,0.0324852
0.625,0.01058707,0.0252361,0.0329854
0.65,0.0106795,0.0254382,0.0334294
0.675,0.01076915,0.0256206,0.0338223
0.7,0.01085697,0.0257866,0.0341691
0.725,0.01094324,0.0259358,0.0344756
0.75,0.01102782,0.0260718,0.0347462
