Vds [V],Ids (Vgs = -375mV) [A],Ids (Vgs = -600mV) [A],Ids (Vgs = -750mV) [A]
0.00E+00,-1.27E-05,-1.56E-05,-1.65E-05
-2.50E-02,-1.26E-03,-1.70E-03,-1.82E-03
-5.00E-02,-2.44E-03,-3.36E-03,-3.62E-03
-7.50E-02,-3.52E-03,-4.99E-03,-5.38E-03
-1.00E-01,-4.49E-03,-6.58E-03,-7.13E-03
-1.25E-01,-5.35E-03,-8.13E-03,-8.85E-03
-1.50E-01,-6.10E-03,-9.63E-03,-1.05E-02
-1.75E-01,-6.73E-03,-1.11E-02,-1.22E-02
-2.00E-01,-7.26E-03,-1.25E-02,-1.38E-02
-2.25E-01,-7.70E-03,-1.38E-02,-1.53E-02
-2.50E-01,-8.07E-03,-1.50E-02,-1.68E-02
-2.75E-01,-8.39E-03,-1.62E-02,-1.83E-02
-3.00E-01,-8.65E-03,-1.72E-02,-1.97E-02
-3.25E-01,-8.89E-03,-1.82E-02,-2.10E-02
-3.50E-01,-9.10E-03,-1.91E-02,-2.23E-02
-3.75E-01,-9.29E-03,-2.00E-02,-2.35E-02
-4.00E-01,-9.47E-03,-2.07E-02,-2.46E-02
-4.25E-01,-9.64E-03,-2.14E-02,-2.56E-02
-4.50E-01,-9.79E-03,-2.21E-02,-2.66E-02
-4.75E-01,-9.95E-03,-2.26E-02,-2.75E-02
-0.5,-0.01008902,-0.0231336,-0.0284025
-0.525,-0.01022873,-0.0235927,-0.029195
-0.55,-0.01036662,-0.0240076,-0.0299267
-0.575,-0.01050016,-0.0243841,-0.0305955
-0.6,-0.01063112,-0.0247266,-0.031214
-0.625,-0.01075911,-0.0250425,-0.0317764
-0.65,-0.01088664,-0.0253316,-0.0322975
-0.675,-0.01101003,-0.0256004,-0.0327709
-0.7,-0.01113242,-0.0258497,-0.0332101
-0.725,-0.01125057,-0.0260824,-0.033604
-0.75,-0.01137203,-0.0263018,-0.0339728
