Vgs [V],Ids (Vds = -0.05V) [A],Ids (Vds = -0.75V) [A]
0,-2.11E-06,-7.76E-06
-0.025,-4.69E-06,-1.68E-05
-0.05,-1.03E-05,-3.58E-05
-0.075,-2.21E-05,-7.47E-05
-0.1,-4.65E-05,-1.52E-04
-0.125,-9.40E-05,-2.97E-04
-0.15,-1.80E-04,-5.53E-04
-0.175,-3.22E-04,-9.72E-04
-0.2,-5.29E-04,-1.60E-03
-0.225,-7.98E-04,-2.46E-03
-0.25,-1.11E-03,-3.55E-03
-0.275,-1.42E-03,-4.86E-03
-0.3,-1.72E-03,-6.33E-03
-0.325,-1.99E-03,-7.92E-03
-0.35,-2.23E-03,-9.60E-03
-0.375,-2.43E-03,-1.13E-02
-0.4,-2.61E-03,-1.31E-02
-0.425,-2.75E-03,-1.48E-02
-0.45,-2.88E-03,-1.66E-02
-0.475,-2.99E-03,-1.83E-02
-0.5,-3.08E-03,-2.00E-02
-0.525,-3.17E-03,-2.16E-02
-0.55,-3.24E-03,-2.32E-02
-0.575,-3.30E-03,-2.48E-02
-0.6,-3.36E-03,-2.63E-02
-0.625,-3.42E-03,-2.77E-02
-0.65,-3.46E-03,-2.91E-02
-0.675,-3.51E-03,-3.04E-02
-0.7,-3.55E-03,-3.17E-02
-0.725,-3.58E-03,-3.29E-02
-0.75,-3.62E-03,-3.40E-02
,,
,,
,,
,,
,,
,,
,,
